ID,Title,Product,Repo,Assignee,Skill,Theme,Phase,Milestone,Status,Dependencies,Dev_hrs,TestDev_hrs,QA_hrs,Deploy_hrs,Buffer_hrs,Total_hrs,Remaining_hrs,Description,Acceptance
A1,Tenant-aware data model,Sentry,pontus,Will,PE,A — Platform & Security,0,Post-MVP,To-do,,48,19,12,3,10,92,92.0,"PostgreSQL/Sequelize schema for orgs, facilities, assets, users, roles, telemetry streams, parsers, monitoring rules, audit events, retention policies; every row tenant-scoped.",Schema+migrations reviewed; all tables tenant-scoped; ERD documented
A2,Tenant isolation enforcement,Sentry,pontus,Will,PE,A — Platform & Security,0,Post-MVP,To-do,A1,32,13,8,3,7,63,63.0,"Enforce the tenant filter at app, every DB query, authz, audit, and test layers; a query missing the filter fails rather than leaks.",Tests prove cross-tenant read/write fail and are logged
A3,Authentication & sessions,Sentry,pontus,Will,PE,A — Platform & Security,1,Post-MVP,To-do,A1,56,22,14,3,11,106,106.0,"Sign-up/in/out, session handling, token issuance/rotation/expiry/revocation, password & access reset, account recovery.",Full login lifecycle works; session tests pass
A4,Modern identity (OIDC/OAuth2/MFA),Sentry,pontus,Will,PE,A — Platform & Security,1,Post-MVP,To-do,A3,32,13,8,3,7,63,63.0,"Layer OpenID Connect, OAuth 2.0, and multi-factor auth onto A3 where required.",OIDC/OAuth2 flows + MFA demonstrated
A5,Roles & permissions (RBAC),Sentry,pontus,Will,PE,A — Platform & Security,1,Post-MVP,To-do,A3,28,11,7,3,6,55,55.0,"Role-based access for platform admin, org admin, facility user, viewer, editor, service accounts; least privilege.",Permission matrix enforced and test-covered
A6,"Organizations, teams, lifecycle",Sentry,pontus,Will,PE,A — Platform & Security,1,Post-MVP,To-do,"A1,A5",32,13,8,3,7,63,63.0,"Multi-tenant orgs/teams/facilities/memberships plus invite, provision, deactivate, role change, team removal, offboarding — no manual DB edits.",Full account lifecycle via API/UI; audited
A7,Retention policies,Sentry,pontus,Will,PE,A — Platform & Security,1,Post-MVP,To-do,A1,32,13,8,3,7,63,63.0,"Configurable data-retention/lifecycle rules by tenant, dataset, regulatory need, contract; applied by jobs; auditable.","Retention configurable, applied, audited"
A8,Controlled deletion,Sentry,pontus,Will,PE,A — Platform & Security,1,Post-MVP,To-do,"A1,A7",28,11,7,3,6,55,55.0,"Verifiable deletion for data, users, orgs, offboarding with durable evidence of exactly what was deleted.",Deletion produces scope audit record; tested
A9,Backups & recovery,Sentry,pontus,Will,PE,A — Platform & Security,2,Post-MVP,To-do,A1,20,8,5,3,4,40,40.0,"Backup, restore, DR, recovery testing tied to retention; documented runbooks.",Test restore succeeds; procedure documented
A10,Data-governance audit trail,Sentry,pontus,Will,PE,A — Platform & Security,1,Post-MVP,To-do,A1,28,11,7,3,6,55,55.0,"Log access, edits, exports, deletions, policy/parser/monitoring changes, security events; queryable, protected, retained.",Security events logged and queryable
A11,Security foundation,Sentry,pontus,Will,PE,A — Platform & Security,1,Post-MVP,To-do,A1,20,8,5,3,4,40,40.0,"Encryption in transit & at rest, secrets management (no secrets in code, rotated), least privilege, defense in depth.",Encryption + secrets handling verified
A12,Compliance readiness (SOC2/ISO/GDPR),Sentry,pontus,Will,PE,A — Platform & Security,6,Post-MVP,To-do,"A8,A10,A11",24,10,6,2,5,47,47.0,Map controls toward SOC 2 / ISO 27001 and GDPR right-to-erasure; produce control inventory + evidence plan (not certification).,Control inventory + evidence plan delivered
B1,Parser & field mapping,Sentry,pontus,Will,DE,B — Data Pipeline,0,Jul,Rework,A1,40,14,8,1,8,71,71.0,Parse customer workbook (Tab 5 layout) and map each source field to a Sentry field with type and unit.,Representative log parses into tenant-scoped series
B2,Cadence detection [built],Sentry,pontus,Will,DE,B — Data Pipeline,0,Post-MVP,Done,B1,12,4,2,1,2,21,0.0,Infer each metric's intended sampling schedule from data — basis for missed vs never-scheduled. Built (detectCadence.js); integrate+test.,Cadence model per metric; unit-tested
B3,Correction stage [built],Sentry,pontus,Will,DE,B — Data Pipeline,0,Post-MVP,Done,B2,16,6,3,1,3,29,0.0,Fill short safe gaps & correct obvious errors using the cadence model; leave large gaps. Runs before analyzers. Built (correct.js); finish wiring.,Correction runs in-pipeline; over-fill guarded
B4,Augmentation (derived chemistry),Sentry,pontus,Will,DE,B — Data Pipeline,0,Post-MVP,Done,"B3,C3",24,8,5,1,5,43,0.0,"Compute derived series (saturation ratios, indices, active-halogen) from raw readings. augment.js registry kept complete.",Augmenter registry complete; outputs match oracle
B5,Missing-data / validation stage,Sentry,pontus,Will,DE,B — Data Pipeline,0,Jul,In-progress,B2,32,11,6,1,6,56,28.0,"Classify every gap (never-collected, stopped, started-late, frequent, inner/system pause, source gap) as a pure consumer of the cadence model; value validation (missing/future/dup/domain/limit/formula).",Findings match Sentry report categories
B6,Pipeline orchestration & contracts,Sentry,pontus,Will,DE,B — Data Pipeline,1,Jul,To-do,"B1,B2,B3,B4,B5",20,7,4,1,4,36,36.0,Wire parse->cadence->correct->augment->validate as ordered stages with clean hand-offs; analyzers get finished outputs only.,Stages independently testable; order enforced
C1,Validation & domain rules,Sentry,pontus,Will,AE,C — Calculation Library,0,Jul,To-do,,16,7,3,0.5,3,29.5,29.5,"Reusable predicates: missing, future-date, duplicate, numeric/pH domain, lower/upper-limit breach, formula error.",Each rule unit-tested incl. edge cases
C2,SPC & capability math,Sentry,pontus,Will,AE,C — Calculation Library,0,Post-MVP,To-do,,44,20,9,0.5,9,82.5,82.5,"Control-chart stats (I-MR, X-bar/R, X-bar/S, EWMA, CUSUM, p, u), capability indices, distribution fits (normal/lognormal/Weibull). Engine behind graphs #6-15.",Statistics match reference values
